,Keys,Keys Embedding,Values
212,Tony_checkup_department,"[-0.0166752  -0.03081531 -0.01264912 ...  0.02285084  0.02422737
 -0.01338743]",Dermatology
213,Tony_hospital_location,"[ 0.003157    0.00883064 -0.01240461 ...  0.00521905  0.02057216
 -0.02333369]",Sunshine Medical Center
214,Tony_contact,"[ 0.01115775 -0.03417004 -0.01253117 ...  0.01323145  0.03824993
 -0.0080263 ]",763.710.0415
215,Tony_appointment_time,"[-0.04279949 -0.01225817 -0.01010275 ...  0.02215818  0.02228299
  0.01289141]",18:49
216,Sherry_doctor,"[-0.00400313  0.04789994 -0.01313353 ... -0.00138742 -0.00415202
 -0.00517928]",Dr. Thomas
217,Sherry_appointment_date,"[-0.05175072  0.03189002 -0.00718846 ...  0.02225695  0.01446939
  0.01421311]",2026-01-19
218,Sherry_checkup_department,"[-0.01253417 -0.01717801 -0.01214272 ...  0.02297526 -0.00442826
  0.00344586]",Dermatology
219,Sherry_hospital_location,"[-0.0081349   0.04431389 -0.01115184 ...  0.00905403  0.00619263
  0.00117506]",Sunshine Medical Center
220,Sherry_contact,"[-0.01989415  0.03264248 -0.01348226 ...  0.00702533  0.02473127
  0.00473296]",347.663.9316
221,Sherry_appointment_time,"[-0.05516552  0.00941416 -0.00931002 ...  0.0179307   0.00597791
  0.01172316]",16:17
222,Sara_doctor,"[ 0.01110902  0.02884985 -0.01301706 ... -0.00640155 -0.00240565
 -0.01838671]",Dr. Moore
223,Sara_appointment_date,"[-0.03806861  0.03411933 -0.00813503 ...  0.02214748  0.01491042
  0.01124387]",2026-06-13
224,Sara_checkup_department,"[-0.01115782 -0.02517926 -0.01230175 ...  0.02002256 -0.01031502
 -0.00626629]",Radiology
225,Sara_hospital_location,"[-0.00716503  0.02267444 -0.01135234 ... -0.00036107 -0.00285068
 -0.00669622]",Patan Hospital
226,Sara_contact,"[-1.4245998e-02  7.0018522e-03 -1.3545751e-02 ...  2.9424613e-05
  1.7719129e-02 -1.5625590e-02]",972.287.7045
227,Sara_appointment_time,"[-0.04275904  0.01040308 -0.00964006 ...  0.01912007  0.00794309
  0.00931276]",12:17
228,Kenneth_doctor,"[ 0.02130212 -0.00152618 -0.01337299 ... -0.01221541  0.00936844
 -0.00304579]",Dr. Roshan
229,Kenneth_appointment_date,"[-0.02110847  0.00115379 -0.0087316  ...  0.01965912  0.02506164
  0.01765214]",2026-07-10
230,Kenneth_checkup_department,"[-0.00287029 -0.04396369 -0.01225494 ...  0.0268407   0.0167327
 -0.00247144]",Pediatrics
231,Kenneth_hospital_location,"[ 0.01840694  0.00897072 -0.01120041 ...  0.01110998  0.01436751
  0.01362497]",Global Care Hospital
232,Kenneth_contact,"[ 0.00166943 -0.0165097  -0.01329624 ...  0.00143881  0.03837907
  0.00765761]",001-441-419-7256
233,Kenneth_appointment_time,"[-0.02527465 -0.01380386 -0.00997256 ...  0.01936388  0.01896838
  0.01736931]",02:52
234,Angela_doctor,"[ 0.01187639  0.02075401 -0.01387283 ... -0.00783916 -0.00119598
 -0.02125201]",Dr. Wilson
235,Angela_appointment_date,"[-0.02395039  0.00116688 -0.00921545 ...  0.02318055  0.0135492
  0.00599529]",2026-06-12
236,Angela_checkup_department,"[-0.00263054 -0.03672449 -0.01223077 ...  0.02887344  0.0052066
 -0.00849526]",Pediatrics
237,Angela_hospital_location,"[ 0.01099546  0.01278228 -0.01177417 ...  0.00325679  0.01083552
 -0.01002993]",Global Care Hospital
238,Angela_contact,"[ 0.00253213 -0.0153478  -0.0140079  ...  0.01100917  0.02691901
 -0.01394578]",+1-388-944-3940x8272
239,Angela_appointment_time,"[-0.03338042 -0.01267728 -0.01142245 ...  0.01980623  0.01879834
  0.0015423 ]",02:47
240,Nicholas_doctor,"[ 0.0296509  -0.00073802 -0.0146271  ... -0.01209019  0.00353637
 -0.02893763]",Dr. Anderson
241,Nicholas_appointment_date,"[-0.02564036  0.00530582 -0.01004265 ...  0.0234527   0.01592617
 -0.0151831 ]",2026-06-13
242,Nicholas_checkup_department,"[-0.00932289 -0.04354259 -0.01308822 ...  0.01956368  0.00652888
 -0.02272073]",Dentist
243,Nicholas_hospital_location,"[ 0.01433878  0.01837581 -0.01293506 ...  0.00753655  0.00250703
 -0.02549806]",Sunshine Medical Center
244,Nicholas_contact,"[ 0.00178242 -0.01580995 -0.01492642 ...  0.00234682  0.02247193
 -0.03074066]",+1-273-681-0457x92615
245,Nicholas_appointment_time,"[-0.02953799 -0.01108038 -0.01148404 ...  0.02216344  0.01685043
 -0.01699465]",08:14
246,Kim_doctor,"[ 0.01412814 -0.02347475 -0.01474865 ... -0.0074725   0.00962727
  0.0039259 ]",Dr. Brown
247,Kim_appointment_date,"[-0.05197905  0.01005237 -0.0084128  ...  0.02668975  0.02451702
  0.01815897]",2026-01-06
248,Kim_checkup_department,"[-0.00875421 -0.05042334 -0.01288384 ...  0.03125724  0.00467694
  0.0180892 ]",Dentist
249,Kim_hospital_location,"[-0.01540109 -0.00718788 -0.0122149  ...  0.00661603 -0.00578324
  0.00555342]",Global Care Hospital
250,Kim_contact,"[-0.00062992 -0.0160128  -0.01328175 ...  0.01723141  0.01392265
  0.02577876]",+1-993-451-2079x294
251,Kim_appointment_time,"[-0.05412829 -0.00692425 -0.00992351 ...  0.02496557  0.01710212
  0.01403125]",18:27
252,Susan_doctor,"[ 0.00070225  0.00799039 -0.01288238 ... -0.00381049  0.00718733
  0.01632624]",Dr. Lee
253,Susan_appointment_date,"[-0.03904546  0.00835383 -0.00891697 ...  0.02344565  0.01318265
  0.02966189]",2026-01-20
254,Susan_checkup_department,"[-0.03191479 -0.02624398 -0.01142338 ...  0.02656516  0.00820122
  0.01707871]",Dermatology
255,Susan_hospital_location,"[-0.01582302  0.01758697 -0.01221699 ...  0.00578139  0.00126359
  0.02035588]",Global Care Hospital
256,Susan_contact,"[-0.00680729 -0.02878148 -0.01128146 ...  0.01920282  0.00256071
  0.02781453]",(324)918-8430x65871
257,Susan_appointment_time,"[-0.04195288 -0.01456743 -0.01007455 ...  0.02252794  0.00111875
  0.02398184]",18:28
258,Edwin_doctor,"[ 0.04962855  0.02553156 -0.01488315 ... -0.02301277  0.00318206
 -0.00125051]",Dr. Brown
259,Edwin_appointment_date,"[ 0.00310462  0.01146657 -0.01070316 ...  0.01182986  0.02226635
  0.00587394]",2026-06-03
260,Edwin_checkup_department,"[ 0.01412706 -0.01642697 -0.01309778 ...  0.0207219   0.02117677
 -0.0044019 ]",Radiology
261,Edwin_hospital_location,"[ 0.03648884  0.04531362 -0.01214057 ... -0.00451768  0.01690509
  0.01575299]",Global Care Hospital
262,Edwin_contact,"[ 0.03493999  0.0233624  -0.01465439 ... -0.01094133  0.03278415
  0.00579133]",(737)616-5095
263,Edwin_appointment_time,"[-0.01430796 -0.00724271 -0.01162557 ...  0.0163027   0.01421199
  0.00709004]",02:40
264,Jessica_doctor,"[ 0.0184065   0.00775957 -0.01293085 ... -0.00846441  0.03662992
 -0.010118  ]",Dr. Roshan
265,Jessica_appointment_date,"[-0.03930098  0.00978054 -0.00753117 ...  0.02617957  0.03088754
  0.01861172]",2026-02-07
266,Jessica_checkup_department,"[-0.00978994 -0.02305287 -0.01237324 ...  0.02596499  0.03097824
  0.00492829]",Radiology
267,Jessica_hospital_location,"[ 0.00281405  0.01844122 -0.01206197 ...  0.00633603  0.01341761
 -0.01370187]",Global Care Hospital
268,Jessica_contact,"[ 0.03224036 -0.01266009 -0.0126119  ...  0.02803314  0.03743071
  0.0014608 ]",990-870-8470
269,Jessica_appointment_time,"[-0.0323365  -0.01275928 -0.00951465 ...  0.02345674  0.02242501
  0.01326861]",08:56
270,Paige_doctor,"[-0.00372714  0.01943046 -0.01369107 ...  0.0220995   0.02686292
 -0.02050465]",Dr. Taylor
271,Paige_appointment_date,"[-0.03940491  0.01291431 -0.00903407 ...  0.04210242  0.03900191
  0.00221681]",2026-06-03
272,Paige_checkup_department,"[-0.02867503 -0.01001538 -0.01273166 ...  0.05180354  0.03144586
 -0.01804981]",Orthopedics
273,Paige_hospital_location,"[-0.01784062  0.00710762 -0.01152395 ...  0.03735222  0.02945694
 -0.01944571]",Global Care Hospital
274,Paige_contact,"[-0.02435664  0.00846698 -0.01451159 ...  0.02730698  0.04588168
 -0.0112974 ]",514.960.9688
275,Paige_appointment_time,"[-0.05099043 -0.00429344 -0.01071655 ...  0.04176552  0.03351386
 -0.00387689]",14:56
276,Ryan_doctor,"[ 0.01724674  0.01916979 -0.01458554 ... -0.00772345  0.02046349
 -0.01585333]",Dr. Johnson
277,Ryan_appointment_date,"[-0.03834078  0.02974516 -0.00932381 ...  0.02848503  0.02477145
  0.00953079]",2026-02-24
278,Ryan_checkup_department,"[-0.01826321 -0.01229106 -0.01282564 ...  0.02571404  0.01286692
 -0.0160646 ]",Dentist
279,Ryan_hospital_location,"[ 0.01969061  0.02871048 -0.01204914 ...  0.00575479  0.0052688
 -0.03886783]",Global Care Hospital
280,Ryan_contact,"[ 0.01151252  0.00948316 -0.01340105 ...  0.01068422  0.01291613
 -0.01916621]",517-324-1514x729
281,Ryan_appointment_time,"[-0.03870329  0.00827536 -0.01081286 ...  0.02465216  0.02172026
  0.00617164]",19:03
282,Anthony_doctor,"[ 0.04126246 -0.0176772  -0.01371395 ... -0.02351083  0.01231593
 -0.01122449]",Dr. Moore
283,Anthony_appointment_date,"[-0.01077208  0.00845075 -0.00963328 ...  0.02547158  0.03063636
  0.01202053]",2025-12-09
284,Anthony_checkup_department,"[-0.00893058 -0.02162995 -0.01280694 ...  0.01481582  0.01653557
  0.00437222]",Radiology
285,Anthony_hospital_location,"[ 0.0294903   0.02080642 -0.01278296 ...  0.00306718  0.01720368
 -0.00094303]",Global Care Hospital
286,Anthony_contact,"[ 0.03470439 -0.02248487 -0.013375   ... -0.00958553  0.03263756
  0.00688152]",902-377-2130x39538
287,Anthony_appointment_time,"[-0.01319836 -0.00860192 -0.01095114 ...  0.02213166  0.02700651
  0.00981275]",21:11
288,Linda_doctor,"[-0.00154738  0.03860577 -0.01384169 ... -0.01330917  0.01082383
 -0.00260661]",Dr. Anderson
289,Linda_appointment_date,"[-0.04020564  0.0245635  -0.00955077 ...  0.01455319  0.0316233
  0.0151337 ]",2025-08-08
290,Linda_checkup_department,"[-0.02911707 -0.01175959 -0.01241233 ...  0.02059221  0.01978783
  0.00160312]",Dermatology
291,Linda_hospital_location,"[-0.00808022  0.03610056 -0.01233492 ... -0.0140323   0.03020067
  0.01717194]",Patan Hospital
292,Linda_contact,"[-0.01150051  0.01032414 -0.01423898 ... -0.01099891  0.04900658
  0.00822567]",001-723-957-3638x4524
293,Linda_appointment_time,"[-0.04485102  0.00142663 -0.01123844 ...  0.01156404  0.02352614
  0.0136738 ]",15:01
294,Ariana_doctor,"[ 0.0198699   0.05126579 -0.01351599 ...  0.00185028 -0.00528309
 -0.01843027]",Dr. Lee
295,Ariana_appointment_date,"[-0.03292641  0.0327388  -0.0089961  ...  0.02638804  0.02180603
  0.01583056]",2025-09-09
296,Ariana_checkup_department,"[-0.00070568  0.01167286 -0.01297496 ...  0.02811695  0.00032071
 -0.00928628]",Pediatrics
297,Ariana_hospital_location,"[-0.00390038  0.05410938 -0.01137596 ...  0.01901376 -0.00362818
 -0.00575904]",Global Care Hospital
298,Ariana_contact,"[-0.00945608  0.04355311 -0.01480033 ...  0.00652717  0.02655673
 -0.00902206]",+1-204-273-3629x4160
299,Ariana_appointment_time,"[-0.03282779  0.01712518 -0.01044883 ...  0.02817413  0.01176446
  0.01002039]",06:30
300,Jason_doctor,"[ 0.01470199 -0.01246953 -0.01521254 ... -0.02708565  0.02251969
 -0.00550278]",Dr. Thomas
301,Jason_appointment_date,"[-0.02674129  0.01646947 -0.00887712 ...  0.01744622  0.03259982
  0.02115629]",2025-11-29
302,Jason_checkup_department,"[-0.00954602 -0.03147074 -0.01298595 ...  0.00845589  0.02419003
  0.00165438]",Dentist
303,Jason_hospital_location,"[ 0.00202709  0.00982828 -0.01339867 ... -0.00993598  0.01851028
 -0.01581745]",City Hospital
304,Jason_contact,"[ 0.02665194 -0.00874779 -0.01341043 ... -0.02183959  0.02875043
  0.0059618 ]",(445)498-0456
305,Jason_appointment_time,"[-0.02590371 -0.00502267 -0.0107445  ...  0.01307539  0.02526263
  0.01669623]",19:49
306,Scott_doctor,"[ 0.03171254 -0.01113007 -0.01443815 ... -0.01161688  0.00328356
 -0.0059084 ]",Dr. Lee
307,Scott_appointment_date,"[-0.0450457   0.00301697 -0.00883432 ...  0.02978033  0.01985584
  0.019148  ]",2025-12-10
308,Scott_checkup_department,"[-0.0236963  -0.0327054  -0.01300835 ...  0.03079936  0.0080183
  0.00311887]",Pediatrics
309,Scott_hospital_location,"[ 0.0114797  -0.01250683 -0.01216017 ... -0.00837482 -0.00473705
 -0.01032114]",City Hospital
310,Scott_contact,"[ 0.02458285 -0.02441755 -0.01406499 ... -0.00278279  0.01392987
  0.01261416]",560.317.2745
311,Scott_appointment_time,"[-0.04822227 -0.01328797 -0.01021171 ...  0.02260038  0.01269416
  0.01702314]",07:08
312,Blake_doctor,"[ 0.01344859 -0.01161704 -0.01458369 ... -0.02679293  0.01418107
 -0.00831902]",Dr. Brown
313,Blake_appointment_date,"[-0.05047967  0.02793902 -0.00756094 ...  0.01784498  0.02726449
  0.01177304]",2026-01-10
314,Blake_checkup_department,"[-0.01555491 -0.05668858 -0.01343038 ...  0.00745839  0.00944079
 -0.00975786]",Radiology
315,Blake_hospital_location,"[-0.01298613  0.0074134  -0.01206268 ... -0.00968403 -0.00305074
 -0.0238194 ]",Sunshine Medical Center
316,Blake_contact,"[ 0.00663147 -0.01355414 -0.01405889 ... -0.02080229  0.01764159
 -0.01123269]",835.879.4654
317,Blake_appointment_time,"[-0.0486756   0.00665573 -0.00942836 ...  0.01519083  0.02249344
  0.00846007]",12:56
318,Kelly_doctor,"[-0.01135395 -0.01020288 -0.01414795 ... -0.00357071  0.01363801
  0.01003577]",Dr. Smith
319,Kelly_appointment_date,"[-0.05483687  0.01447989 -0.00707006 ...  0.03030638  0.02531154
  0.01628387]",2025-08-21
320,Kelly_checkup_department,"[-0.02200621 -0.02940492 -0.01257313 ...  0.03099035  0.01458074
 -0.00904007]",Pediatrics
321,Kelly_hospital_location,"[-0.00582199  0.01923914 -0.01267822 ...  0.01039522  0.00742442
 -0.00099476]",City Hospital
322,Kelly_contact,"[-0.00305119 -0.03503928 -0.01325705 ...  0.02993079  0.03113018
  0.00984248]",(501)250-7844x47007
323,Kelly_appointment_time,"[-0.05014653 -0.00945301 -0.00875678 ...  0.02452802  0.01353774
  0.01234722]",16:54
324,Stephanie_doctor,"[ 0.02090722  0.01630916 -0.01379394 ... -0.00592178  0.02730245
 -0.0150048 ]",Dr. Thomas
325,Stephanie_appointment_date,"[-0.03820968  0.01498166 -0.00861061 ...  0.02108455  0.03057341
  0.01416106]",2026-03-09
326,Stephanie_checkup_department,"[-0.00030239 -0.01513751 -0.01256569 ...  0.02330276  0.0301675
 -0.00762897]",Cardiology
327,Stephanie_hospital_location,"[ 0.02274822  0.01517792 -0.01203469 ...  0.0011312   0.03183147
 -0.00323418]",City Hospital
328,Stephanie_contact,"[ 0.01649412 -0.00933661 -0.01370815 ... -0.00694942  0.05175127
 -0.01242949]",295-393-2757
329,Stephanie_appointment_time,"[-0.03523454 -0.00570761 -0.01050938 ...  0.02177683  0.01975452
  0.00514326]",16:34
330,Sonia_doctor,"[ 0.03277215  0.01727699 -0.01453004 ... -0.00406086  0.02959502
 -0.01854064]",Dr. Roshan
331,Sonia_appointment_date,"[-0.02383649  0.00732391 -0.00953705 ...  0.02524513  0.04010731
  0.00494282]",2025-08-15
332,Sonia_checkup_department,"[ 0.02734526 -0.03037208 -0.0138502  ...  0.01666851  0.03396659
 -0.00877365]",Pediatrics
333,Sonia_hospital_location,"[ 0.0220401   0.02584187 -0.01261135 ...  0.00511376  0.03458055
 -0.00499544]",Mountain View Hospital
334,Sonia_contact,"[ 0.01813547  0.00118554 -0.01500401 ...  0.00456084  0.05248053
 -0.00727804]",804.721.8175
335,Sonia_appointment_time,"[-2.0556549e-02 -1.0176010e-02 -1.1136935e-02 ...  2.4269298e-02
  3.1404745e-02  1.2884412e-05]",08:35
336,Derek_doctor,"[ 0.00896502  0.00063621 -0.01514751 ... -0.04206653  0.01221203
 -0.01548633]",Dr. Lee
337,Derek_appointment_date,"[-0.0392376   0.00196331 -0.00895883 ...  0.0077713   0.03391937
  0.02079081]",2026-05-28
338,Derek_checkup_department,"[-0.0242856  -0.02972773 -0.01350263 ... -0.00534623  0.01885729
 -0.00581951]",Orthopedics
339,Derek_hospital_location,"[-0.01011077  0.00155495 -0.01306622 ... -0.02643162  0.02295412
  0.00499614]",Patan Hospital
340,Derek_contact,"[-0.02199337 -0.02394966 -0.01584241 ... -0.04251105  0.04940461
  0.0007198 ]",991.615.5142x005
341,Derek_appointment_time,"[-0.04110292 -0.01623198 -0.01105039 ...  0.00210373  0.02798886
  0.01397151]",04:56
342,Debbie_doctor,"[-0.00462262  0.02665576 -0.0142129  ...  0.00098519  0.00799569
 -0.02244699]",Dr. Johnson
343,Debbie_appointment_date,"[-0.03578307  0.02065063 -0.00793091 ...  0.02978068  0.023934
  0.01168744]",2025-09-22
344,Debbie_checkup_department,"[-0.00841095 -0.03080805 -0.01330682 ...  0.0266453   0.01238277
 -0.01556711]",Dentist
345,Debbie_hospital_location,"[-0.00391648  0.01084763 -0.0126761  ...  0.00916559  0.00836744
 -0.00946756]",Mountain View Hospital
346,Debbie_contact,"[-0.01508212 -0.01227895 -0.01461293 ...  0.0031459   0.02829828
 -0.0137945 ]",(948)642-9019x982
347,Debbie_appointment_time,"[-0.04110327 -0.00083699 -0.01032586 ...  0.024139    0.01890536
  0.01056771]",15:22
348,Vanessa_doctor,"[ 0.01793436  0.04269036 -0.01414409 ... -0.02352468 -0.00657148
 -0.04291035]",Dr. Smith
349,Vanessa_appointment_date,"[-0.03761527  0.02986572 -0.00867657 ...  0.01223706  0.02073744
 -0.00487705]",2026-05-27
350,Vanessa_checkup_department,"[-0.01761855  0.00996226 -0.01320047 ...  0.01384957  0.0112706
 -0.03194486]",Psychiatry
351,Vanessa_hospital_location,"[ 0.01050521  0.03398665 -0.01291536 ... -0.01904633  0.00137623
 -0.04471844]",Global Care Hospital
352,Vanessa_contact,"[ 0.00034681  0.02109912 -0.01520683 ... -0.01501659  0.0221087
 -0.04928806]",436-494-7846x012
353,Vanessa_appointment_time,"[-0.03722178  0.01591866 -0.01094294 ...  0.01147105  0.01274701
 -0.01468099]",06:51
354,Diana_doctor,"[ 0.03163192  0.02005715 -0.01304039 ... -0.00646694  0.02766922
 -0.02268168]",Dr. Taylor
355,Diana_appointment_date,"[-0.02610909  0.01801611 -0.00910063 ...  0.02521169  0.03133125
  0.01393788]",2025-12-15
356,Diana_checkup_department,"[ 0.00032947 -0.01126974 -0.01269793 ...  0.02817884  0.03621729
 -0.00841977]",Pediatrics
357,Diana_hospital_location,"[ 0.02988229  0.02810634 -0.0112319  ...  0.00675046  0.02496494
 -0.00627271]",Patan Hospital
358,Diana_contact,"[ 0.02828025  0.00569488 -0.01454582 ... -0.00264242  0.05547782
 -0.01848538]",845.940.3655x694
359,Diana_appointment_time,"[-0.02348227  0.00111597 -0.01116111 ...  0.02282707  0.02233965
  0.0072904 ]",16:09
360,Olivia_doctor,"[-0.00470831  0.02906118 -0.01373178 ... -0.01540702  0.00249822
 -0.03285907]",Dr. Anderson
361,Olivia_appointment_date,"[-0.05336992  0.01202423 -0.00881754 ...  0.01756751  0.01469597
  0.00065709]",2026-01-26
362,Olivia_checkup_department,"[-0.03519583 -0.00488946 -0.01296255 ...  0.00730052  0.01144569
 -0.02380659]",Orthopedics
363,Olivia_hospital_location,"[-0.00697251  0.01660616 -0.01244014 ... -0.0074595   0.01523791
 -0.02307756]",Mountain View Hospital
364,Olivia_contact,"[-0.01587361 -0.00102013 -0.01466184 ... -0.00591671  0.02467828
 -0.02597483]",432.935.7484x77903
365,Olivia_appointment_time,"[-0.057698   -0.00492579 -0.01125164 ...  0.01807963  0.00914583
 -0.00919643]",22:03
366,Sally_doctor,"[ 0.00943039  0.02819746 -0.01345664 ...  0.00563933  0.00197653
 -0.01458303]",Dr. Johnson
367,Sally_appointment_date,"[-0.03334013  0.02189304 -0.00906431 ...  0.03740629  0.0196984
  0.01272016]",2025-09-12
368,Sally_checkup_department,"[-0.02475008 -0.01739547 -0.012344   ...  0.04554925  0.01537478
 -0.01290184]",Cardiology
369,Sally_hospital_location,"[-0.00416527  0.0201249  -0.01179995 ...  0.02613185  0.01694096
 -0.00151796]",Sunshine Medical Center
370,Sally_contact,"[-0.00476637  0.00089582 -0.01371035 ...  0.02162948  0.03757523
 -0.00786334]",666-347-7062
371,Sally_appointment_time,"[-0.03828401 -0.00294182 -0.01023726 ...  0.03481615  0.01189312
  0.00825375]",21:33
372,Crystal_doctor,"[-0.02008541  0.03333476 -0.01390414 ...  0.00132984  0.00591558
 -0.00401653]",Dr. Brown
373,Crystal_appointment_date,"[-0.06026747  0.01974845 -0.00849796 ...  0.01584377  0.01538656
  0.01967391]",2026-07-07
374,Crystal_checkup_department,"[-0.01586648 -0.0708222  -0.01459739 ...  0.02016625  0.00450931
 -0.00274959]",Psychiatry
375,Crystal_hospital_location,"[-0.00444604  0.00784233 -0.01282802 ... -0.00110527  0.00402616
  0.00051064]",Global Care Hospital
376,Crystal_contact,"[-3.8905844e-02 -1.3859338e-02 -1.5013458e-02 ... -7.3298732e-05
  2.3092005e-02 -1.9624403e-03]",(761)675-6006x674
377,Crystal_appointment_time,"[-0.06679381  0.00280456 -0.01026836 ...  0.01340008  0.01710044
  0.01710262]",16:43
378,Connie_doctor,"[ 0.00475181  0.03746119 -0.01262685 ... -0.01779529  0.01868729
 -0.01407569]",Dr. Roshan
379,Connie_appointment_date,"[-0.03459735  0.0075867  -0.00754519 ...  0.01288664  0.0346737
  0.01502811]",2026-01-23
380,Connie_checkup_department,"[-0.00113139 -0.03687636 -0.01175787 ...  0.00400147  0.0261597
 -0.00180542]",Pediatrics
381,Connie_hospital_location,"[ 0.0017678   0.02232333 -0.01058357 ... -0.0167419   0.03073193
  0.00314095]",Sunshine Medical Center
382,Connie_contact,"[-0.01424006 -0.01100221 -0.01303813 ... -0.02388662  0.05082129
 -0.00013076]",900.819.0526x998
383,Connie_appointment_time,"[-0.03769832 -0.01373139 -0.00973373 ...  0.00866037  0.02971556
  0.01053992]",05:13
384,Anna_doctor,"[ 0.01461128  0.02249336 -0.01313384 ... -0.00923521  0.01027972
 -0.00828204]",Dr. Johnson
385,Anna_appointment_date,"[-0.05250548  0.01076826 -0.00834105 ...  0.027865    0.02302392
  0.01842943]",2025-10-25
386,Anna_checkup_department,"[-0.01552267 -0.01471948 -0.01237538 ...  0.00814931  0.01505504
  0.00299281]",Orthopedics
387,Anna_hospital_location,"[ 0.01288914  0.02884129 -0.01260288 ...  0.00786123  0.01533204
 -0.00549895]",Patan Hospital
388,Anna_contact,"[ 0.00618361 -0.0175948  -0.01348302 ... -0.00645851  0.01592201
 -0.0095566 ]",852.337.7783x210
389,Anna_appointment_time,"[-0.0487448  -0.00901831 -0.01030116 ...  0.02261968  0.01633896
  0.01603681]",13:02
390,Jennifer_doctor,"[ 0.01658676  0.02121158 -0.01294433 ... -0.02355228  0.02691497
 -0.01058124]",Dr. Moore
391,Jennifer_appointment_date,"[-0.01573372  0.01413466 -0.00842459 ...  0.01414465  0.02831549
  0.01582046]",2025-08-16
392,Jennifer_checkup_department,"[-0.01623543 -0.01424165 -0.01140344 ...  0.02562072  0.02100777
 -0.00664342]",Radiology
393,Jennifer_hospital_location,"[ 0.00816488  0.03563566 -0.01220165 ... -0.0135474   0.00896441
 -0.00926682]",City Hospital
394,Jennifer_contact,"[ 0.03276462  0.00047976 -0.01230563 ...  0.00061982  0.0162105
 -0.01888534]",938-415-3997x676
395,Jennifer_appointment_time,"[-0.01644303 -0.00715751 -0.01008947 ...  0.01273207  0.01767198
  0.00747514]",09:53
396,Cesar_doctor,"[ 0.06387059  0.00148489 -0.01432432 ... -0.01785339  0.01407438
 -0.03055119]",Dr. Wilson
397,Cesar_appointment_date,"[ 0.01812483 -0.03281447 -0.01004819 ...  0.01266235  0.01594625
 -0.01449241]",2026-06-12
398,Cesar_checkup_department,"[ 0.02362618 -0.03722918 -0.01349464 ...  0.01432595  0.0166781
 -0.02767158]",Orthopedics
399,Cesar_hospital_location,"[ 0.03415763  0.02976661 -0.01167438 ... -0.00058056  0.01560965
 -0.03232362]",Mountain View Hospital
400,Cesar_contact,"[ 0.02714505 -0.00390897 -0.01471068 ... -0.00910426  0.04111875
 -0.02682912]",+1-517-640-7342x65616
401,Cesar_appointment_time,"[ 0.00651565 -0.0427296  -0.01164706 ...  0.01188183  0.01767676
 -0.01789313]",08:34
402,Eugene_doctor,"[ 0.03196674  0.00780434 -0.01453756 ... -0.03419924  0.01967542
 -0.00898717]",Dr. Smith
403,Eugene_appointment_date,"[-0.01790873 -0.00261364 -0.01011008 ...  0.00315101  0.04154093
  0.01387757]",2025-11-14
404,Eugene_checkup_department,"[ 0.00433511 -0.0234063  -0.01279201 ... -0.00199346  0.03203253
  0.00050258]",Pediatrics
405,Eugene_hospital_location,"[ 0.01998354  0.01902983 -0.01208918 ... -0.02779875  0.03273237
  0.00048701]",Patan Hospital
406,Eugene_contact,"[ 0.01108858 -0.00663322 -0.01434808 ... -0.02974157  0.05492941
  0.00041701]",001-302-301-1694x413
407,Eugene_appointment_time,"[-0.02273364 -0.00918796 -0.01111855 ...  0.00204815  0.03402331
  0.01274296]",01:11
408,Michael_doctor,"[-0.00051953 -0.01096371 -0.01439092 ... -0.02168485  0.02417923
 -0.0119873 ]",Dr. Anderson
409,Michael_appointment_date,"[-0.04573901 -0.00046969 -0.01056405 ...  0.01690663  0.0281891
  0.00721134]",2025-10-29
410,Michael_checkup_department,"[-0.01965835 -0.04850233 -0.01208949 ...  0.02414129  0.01651757
  0.00128238]",Radiology
411,Michael_hospital_location,"[-0.00646048  0.00945221 -0.01251372 ... -0.00907535  0.01383756
 -0.00658931]",Sunshine Medical Center
412,Michael_contact,"[-0.01031433 -0.03549168 -0.01285003 ...  0.00226917  0.03311045
 -0.00689815]",403-575-0822
413,Michael_appointment_time,"[-0.04990615 -0.0230765  -0.01166809 ...  0.01295141  0.02298958
  0.00438718]",09:20
414,Monica_doctor,"[ 0.00669769  0.01885208 -0.01448615 ... -0.0071812   0.00897702
 -0.01502982]",Dr. Thomas
415,Monica_appointment_date,"[-0.0520057   0.02586001 -0.00842461 ...  0.02367341  0.02664277
  0.01425691]",2025-09-12
416,Monica_checkup_department,"[-0.01453349 -0.02910261 -0.01372564 ...  0.01533568  0.01144273
 -0.00590683]",Dentist
417,Monica_hospital_location,"[-0.00392427  0.01035868 -0.0127491  ...  0.0005698   0.00715242
 -0.00091681]",City Hospital
418,Monica_contact,"[-0.0147947   0.00081987 -0.01505239 ...  0.00227889  0.03410501
 -0.01026694]",954-207-1578x232
419,Monica_appointment_time,"[-0.05368299  0.00428533 -0.01030154 ...  0.02225645  0.02425198
  0.00797741]",15:48
420,Christine_doctor,"[ 0.01874867  0.05314165 -0.01401443 ... -0.01266219  0.00832391
 -0.01044494]",Dr. Taylor
421,Christine_appointment_date,"[-0.03280181  0.03352315 -0.0095996  ...  0.02290554  0.02784541
  0.01437248]",2026-01-29
422,Christine_checkup_department,"[ 0.00420727  0.00681067 -0.01384403 ...  0.01623276  0.02111915
 -0.00431944]",Neurology
423,Christine_hospital_location,"[ 0.00410992  0.06408383 -0.01245021 ...  0.00772418  0.01186545
 -0.00177608]",City Hospital
